var1,var2,group,type,spatial
id_patch,I(id_patch^2),landscape,landscape,meta
id_window,I(id_window^2),landscape,landscape,meta
window,I(window^2),landscape,landscape,meta
id_region,I(id_region^2),landscape,landscape,meta
l_mean,I(l_mean^2),ticks,ticks,larvae
lg_l_mean,I(lg_l_mean^2),ticks,ticks,larvae
l_pa,I(l_pa^2),ticks,ticks,larvae
n_sum,I(n_sum^2),ticks,ticks,nymphs
n_mean,I(n_mean^2),ticks,ticks,nymphs
lg_n_mean,I(lg_n_mean^2),ticks,ticks,nymphs
n_pa,I(n_pa^2),ticks,ticks,nymphs
n_lab_sum,I(n_lab_sum^2),ticks,ticks,nymphs
n_lab_mean,I(n_lab_mean^2),ticks,ticks,nymphs
n_ip_gm,I(n_ip_gm^2),ticks,ticks,nymphs
n_ia_gm,I(n_ia_gm^2),ticks,ticks,nymphs
lg_n_ia_gm,I(lg_n_ia_gm^2),ticks,ticks,nymphs
n_inf_pa,I(n_inf_pa^2),ticks,ticks,nymphs
f_sum,I(f_sum^2),ticks,ticks,female
f_mean,I(f_mean^2),ticks,ticks,female
lg_f_mean,I(lg_f_mean^2),ticks,ticks,female
f_pa,I(f_pa^2),ticks,ticks,female
f_lab_sum,I(f_lab_sum^2),ticks,ticks,female
f_lab_mean,I(f_lab_mean^2),ticks,ticks,female
f_ip_gm,I(f_ip_gm^2),ticks,ticks,female
f_ia_gm,I(f_ia_gm^2),ticks,ticks,female
lg_f_ia_gm,I(lg_f_ia_gm^2),ticks,ticks,female
f_inf_pa,I(f_inf_pa^2),ticks,ticks,female
m_sum,I(m_sum^2),ticks,ticks,male
m_mean,I(m_mean^2),ticks,ticks,male
lg_m_mean,I(lg_m_mean^2),ticks,ticks,male
m_pa,I(m_pa^2),ticks,ticks,male
m_lab_sum,I(m_lab_sum^2),ticks,ticks,male
m_lab_mean,I(m_lab_mean^2),ticks,ticks,male
m_ip_gm,I(m_ip_gm^2),ticks,ticks,male
m_ia_gm,I(m_ia_gm^2),ticks,ticks,male
lg_m_ia_gm,I(lg_m_ia_gm^2),ticks,ticks,male
m_inf_pa,I(m_inf_pa^2),ticks,ticks,male
a_sum,I(a_sum^2),ticks,ticks,adults
a_mean,I(a_mean^2),ticks,ticks,adults
lg_a_mean,I(lg_a_mean^2),ticks,ticks,adults
a_pa,I(a_pa^2),ticks,ticks,adults
a_lab_sum,I(a_lab_sum^2),ticks,ticks,adults
a_lab_mean,I(a_lab_mean^2),ticks,ticks,adults
a_ip_gm,I(a_ip_gm^2),ticks,ticks,adults
a_ia_gm,I(a_ia_gm^2),ticks,ticks,adults
lg_a_ia_gm,I(lg_a_ia_gm^2),ticks,ticks,adults
a_inf_pa,I(a_inf_pa^2),ticks,ticks,adults
doy,I(doy^2),ticks,ticks,meta
lt_n_ip_gm,I(lt_n_ip_gm^2),ticks,ticks,nymphs
lt_f_ip_gm,I(lt_f_ip_gm^2),ticks,ticks,felame
lt_m_ip_gm,I(lt_m_ip_gm^2),ticks,ticks,male
lt_a_ip_gm,I(lt_a_ip_gm^2),ticks,ticks,adults
n_points,I(n_points^2),landscape,landscape,meta
X_long2,I(X_long2^2),landscape,landscape,meta
Y_lat,I(Y_lat^2),landscape,landscape,meta
Y_lat2,I(Y_lat2^2),landscape,landscape,meta
lg.surface,I(lg.surface^2),landscape,landscape,patch
surface2,I(surface2^2),landscape,landscape,patch
surface3,I(surface3^2),landscape,landscape,patch
lg.perimeter,I(lg.perimeter^2),landscape,landscape,patch
perim_surf,I(perim_surf^2),landscape,landscape,patch
lg.IndexAge_orig,I(lg.IndexAge_orig^2),landscape,landscape,patch
lg.IndexAge_buff,I(lg.IndexAge_buff^2),landscape,landscape,patch
age2,I(age2^2),landscape,landscape,patch
age3,I(age3^2),landscape,landscape,patch
age4,I(age4^2),landscape,landscape,patch
height_stand_mean,I(height_stand_mean^2),structural properties,macrohabitat,tree
height_stand_max,I(height_stand_max^2),structural properties,macrohabitat,tree
treelayers_min,I(treelayers_min^2),structural properties,macrohabitat,tree
treelayers_max,I(treelayers_max^2),structural properties,macrohabitat,tree
md_total_mean,I(md_total_mean^2),structural properties,macrohabitat,tree
md_large_mean,I(md_large_mean^2),structural properties,macrohabitat,tree
dens_total_lg_mean,I(dens_total_lg_mean^2),structural properties,macrohabitat,tree
dens_large_lg_mean,I(dens_large_lg_mean^2),structural properties,macrohabitat,tree
slenderness_total_mean,I(slenderness_total_mean^2),structural properties,macrohabitat,tree
slenderness_small_mean,I(slenderness_small_mean^2),structural properties,macrohabitat,tree
slenderness_large_mean,I(slenderness_large_mean^2),structural properties,macrohabitat,tree
ba_bitterlich_mean,I(ba_bitterlich_mean^2),structural properties,macrohabitat,tree
ba_total_lg_mean,I(ba_total_lg_mean^2),structural properties,macrohabitat,tree
ba_total_lg_min,I(ba_total_lg_min^2),structural properties,macrohabitat,tree
ba_total_lg_max,I(ba_total_lg_max^2),structural properties,macrohabitat,tree
ba_large_lg_mean,I(ba_large_lg_mean^2),structural properties,macrohabitat,tree
ba_small_lg_mean,I(ba_small_lg_mean^2),structural properties,macrohabitat,tree
ba_decid_lg_mean,I(ba_decid_lg_mean^2),structural properties,macrohabitat,tree
bn_ba_evergr_bn_mean,I(bn_ba_evergr_bn_mean^2),structural properties,macrohabitat,tree
bn_ba_dead_bn_mean,I(bn_ba_dead_bn_mean^2),structural properties,macrohabitat,tree
ba_laying_total_lg_mean,I(ba_laying_total_lg_mean^2),structural properties,microhabitat,ground
ba_laying_total_lg_max,I(ba_laying_total_lg_max^2),structural properties,microhabitat,ground
ba_laying_large_bn_mean,I(ba_laying_large_bn_mean^2),structural properties,microhabitat,ground
species_mingling_mean,I(species_mingling_mean^2),structural properties,macrohabitat,tree
diam_diff_mean,I(diam_diff_mean^2),structural properties,macrohabitat,tree
lg_diam_cv_mean,I(lg_diam_cv_mean^2),structural properties,macrohabitat,tree
lg_diam_iqr,I(lg_diam_iqr^2),structural properties,macrohabitat,tree
diam_med,I(diam_med^2),structural properties,macrohabitat,tree
lg_diam_biggest,I(lg_diam_biggest^2),structural properties,macrohabitat,tree
dw_diam_mean_mean,I(dw_diam_mean_mean^2),structural properties,macrohabitat,tree
vol_total_lg_mean,I(vol_total_lg_mean^2),structural properties,macrohabitat,tree
vol_total_lg_min,I(vol_total_lg_min^2),structural properties,macrohabitat,tree
vol_total_lg_max,I(vol_total_lg_max^2),structural properties,macrohabitat,tree
biomass_total_lg_mean,I(biomass_total_lg_mean^2),structural properties,macrohabitat,tree
diss_tree1_tree2,I(diss_tree1_tree2^2),structural properties,macrohabitat,tree
diss_tree1_spl,I(diss_tree1_spl^2),structural properties,macrohabitat,tree
diss_tree2_spl,I(diss_tree2_spl^2),structural properties,macrohabitat,tree
herb_canopy_height,I(herb_canopy_height^2),structural properties,microhabitat,herb
herb_canopy_height_cv,I(herb_canopy_height_cv^2),structural properties,microhabitat,herb
tree_canopy_height,I(tree_canopy_height^2),structural properties,macrohabitat,tree
lg_tree_canopy_height_cv,I(lg_tree_canopy_height_cv^2),structural properties,macrohabitat,tree
herb_total_abund,I(herb_total_abund^2),structural properties,microhabitat,herb
herb_average_abund,I(herb_average_abund^2),structural properties,microhabitat,herb
herb_small_disp_abund,I(herb_small_disp_abund^2),functional properties,microhabitat,herb
herb_medium_disp_abund,I(herb_medium_disp_abund^2),functional properties,microhabitat,herb
herb_medium_large_disp_abund,I(herb_medium_large_disp_abund^2),functional properties,microhabitat,herb
herb_large_disp_abund,I(herb_large_disp_abund^2),functional properties,microhabitat,herb
herb_w_nuts_abund,I(herb_w_nuts_abund^2),functional properties,microhabitat,herb
herb_w_nuts_e_abund,I(herb_w_nuts_e_abund^2),functional properties,microhabitat,herb
herb_w_berries_abund,I(herb_w_berries_abund^2),functional properties,microhabitat,herb
herb_w_legume_abund,I(herb_w_legume_abund^2),functional properties,microhabitat,herb
herb_evergreen_abund,I(herb_evergreen_abund^2),functional properties,microhabitat,herb
herb_pr_padus_abund,I(herb_pr_padus_abund^2),functional properties,microhabitat,herb
shrub_total_abund,I(shrub_total_abund^2),structural properties,macrohabitat,shrub
shrub_average_abund,I(shrub_average_abund^2),structural properties,macrohabitat,shrub
shrub_small_disp_abund,I(shrub_small_disp_abund^2),functional properties,macrohabitat,shrub
shrub_medium_disp_abund,I(shrub_medium_disp_abund^2),functional properties,macrohabitat,shrub
shrub_medium_large_disp_abund,I(shrub_medium_large_disp_abund^2),functional properties,macrohabitat,shrub
shrub_large_disp_abund,I(shrub_large_disp_abund^2),functional properties,macrohabitat,shrub
shrub_w_nuts_abund,I(shrub_w_nuts_abund^2),functional properties,macrohabitat,shrub
shrub_w_nuts_e_abund,I(shrub_w_nuts_e_abund^2),functional properties,macrohabitat,shrub
shrub_w_berries_abund,I(shrub_w_berries_abund^2),functional properties,macrohabitat,shrub
shrub_evergreen_abund,I(shrub_evergreen_abund^2),functional properties,macrohabitat,shrub
shrub_pr_padus_abund,I(shrub_pr_padus_abund^2),functional properties,macrohabitat,shrub
tree_total_abund,I(tree_total_abund^2),structural properties,macrohabitat,tree
tree_average_abund,I(tree_average_abund^2),structural properties,macrohabitat,tree
tree_small_disp_abund,I(tree_small_disp_abund^2),functional properties,macrohabitat,tree
tree_medium_disp_abund,I(tree_medium_disp_abund^2),functional properties,macrohabitat,tree
tree_medium_large_disp_abund,I(tree_medium_large_disp_abund^2),functional properties,macrohabitat,tree
